転出先都道府県,性別,年齢階級,転出者数
北海道,総数,15-19歳,49
北海道,総数,20-24歳,139
北海道,総数,25-29歳,114
北海道,総数,30-34歳,74
北海道,男,15-19歳,21
北海道,男,20-24歳,80
北海道,男,25-29歳,61
北海道,男,30-34歳,45
北海道,女,15-19歳,28
北海道,女,20-24歳,59
北海道,女,25-29歳,53
北海道,女,30-34歳,29
青森県,総数,15-19歳,26
青森県,総数,20-24歳,76
青森県,総数,25-29歳,83
青森県,総数,30-34歳,54
青森県,男,15-19歳,18
青森県,男,20-24歳,51
青森県,男,25-29歳,58
青森県,男,30-34歳,34
青森県,女,15-19歳,8
青森県,女,20-24歳,25
青森県,女,25-29歳,25
青森県,女,30-34歳,20
岩手県,総数,15-19歳,42
岩手県,総数,20-24歳,109
岩手県,総数,25-29歳,89
岩手県,総数,30-34歳,55
岩手県,男,15-19歳,29
岩手県,男,20-24歳,70
岩手県,男,25-29歳,50
岩手県,男,30-34歳,35
岩手県,女,15-19歳,13
岩手県,女,20-24歳,39
岩手県,女,25-29歳,39
岩手県,女,30-34歳,20
宮城県,総数,15-19歳,384
宮城県,総数,20-24歳,1138
宮城県,総数,25-29歳,759
宮城県,総数,30-34歳,478
宮城県,男,15-19歳,223
宮城県,男,20-24歳,576
宮城県,男,25-29歳,438
宮城県,男,30-34歳,273
宮城県,女,15-19歳,161
宮城県,女,20-24歳,562
宮城県,女,25-29歳,321
宮城県,女,30-34歳,205
秋田県,総数,15-19歳,32
秋田県,総数,20-24歳,64
秋田県,総数,25-29歳,73
秋田県,総数,30-34歳,36
秋田県,男,15-19歳,16
秋田県,男,20-24歳,39
秋田県,男,25-29歳,45
秋田県,男,30-34歳,22
秋田県,女,15-19歳,16
秋田県,女,20-24歳,25
秋田県,女,25-29歳,28
秋田県,女,30-34歳,14
山形県,総数,15-19歳,87
山形県,総数,20-24歳,186
山形県,総数,25-29歳,135
山形県,総数,30-34歳,85
山形県,男,15-19歳,54
山形県,男,20-24歳,105
山形県,男,25-29歳,79
山形県,男,30-34歳,49
山形県,女,15-19歳,33
山形県,女,20-24歳,81
山形県,女,25-29歳,56
山形県,女,30-34歳,36
福島県,総数,15-19歳,1010
福島県,総数,20-24歳,3424
福島県,総数,25-29歳,4139
福島県,総数,30-34歳,2785
福島県,男,15-19歳,568
福島県,男,20-24歳,1667
福島県,男,25-29歳,2106
福島県,男,30-34歳,1489
福島県,女,15-19歳,442
福島県,女,20-24歳,1757
福島県,女,25-29歳,2033
福島県,女,30-34歳,1296
茨城県,総数,15-19歳,131
茨城県,総数,20-24歳,383
茨城県,総数,25-29歳,297
茨城県,総数,30-34歳,214
茨城県,男,15-19歳,73
茨城県,男,20-24歳,204
茨城県,男,25-29歳,155
茨城県,男,30-34歳,115
茨城県,女,15-19歳,58
茨城県,女,20-24歳,179
茨城県,女,25-29歳,142
茨城県,女,30-34歳,99
栃木県,総数,15-19歳,170
栃木県,総数,20-24歳,337
栃木県,総数,25-29歳,253
栃木県,総数,30-34歳,149
栃木県,男,15-19歳,105
栃木県,男,20-24歳,171
栃木県,男,25-29歳,123
栃木県,男,30-34歳,89
栃木県,女,15-19歳,65
栃木県,女,20-24歳,166
栃木県,女,25-29歳,130
栃木県,女,30-34歳,60
群馬県,総数,15-19歳,54
群馬県,総数,20-24歳,109
群馬県,総数,25-29歳,81
群馬県,総数,30-34歳,60
群馬県,男,15-19歳,30
群馬県,男,20-24歳,70
群馬県,男,25-29歳,45
群馬県,男,30-34歳,39
群馬県,女,15-19歳,24
群馬県,女,20-24歳,39
群馬県,女,25-29歳,36
群馬県,女,30-34歳,21
埼玉県,総数,15-19歳,281
埼玉県,総数,20-24歳,888
埼玉県,総数,25-29歳,479
埼玉県,総数,30-34歳,266
埼玉県,男,15-19歳,141
埼玉県,男,20-24歳,442
埼玉県,男,25-29歳,261
埼玉県,男,30-34歳,159
埼玉県,女,15-19歳,140
埼玉県,女,20-24歳,446
埼玉県,女,25-29歳,218
埼玉県,女,30-34歳,107
千葉県,総数,15-19歳,249
千葉県,総数,20-24歳,618
千葉県,総数,25-29歳,317
千葉県,総数,30-34歳,212
千葉県,男,15-19歳,145
千葉県,男,20-24歳,294
千葉県,男,25-29歳,176
千葉県,男,30-34歳,129
千葉県,女,15-19歳,104
千葉県,女,20-24歳,324
千葉県,女,25-29歳,141
千葉県,女,30-34歳,83
東京都,総数,15-19歳,595
東京都,総数,20-24歳,2118
東京都,総数,25-29歳,947
東京都,総数,30-34歳,521
東京都,男,15-19歳,304
東京都,男,20-24歳,1016
東京都,男,25-29歳,522
東京都,男,30-34歳,294
東京都,女,15-19歳,291
東京都,女,20-24歳,1102
東京都,女,25-29歳,425
東京都,女,30-34歳,227
神奈川県,総数,15-19歳,321
神奈川県,総数,20-24歳,907
神奈川県,総数,25-29歳,445
神奈川県,総数,30-34歳,233
神奈川県,男,15-19歳,202
神奈川県,男,20-24歳,501
神奈川県,男,25-29歳,278
神奈川県,男,30-34歳,132
神奈川県,女,15-19歳,119
神奈川県,女,20-24歳,406
神奈川県,女,25-29歳,167
神奈川県,女,30-34歳,101
新潟県,総数,15-19歳,125
新潟県,総数,20-24歳,168
新潟県,総数,25-29歳,111
新潟県,総数,30-34歳,54
新潟県,男,15-19歳,66
新潟県,男,20-24歳,97
新潟県,男,25-29歳,70
新潟県,男,30-34歳,32
新潟県,女,15-19歳,59
新潟県,女,20-24歳,71
新潟県,女,25-29歳,41
新潟県,女,30-34歳,22
富山県,総数,15-19歳,9
富山県,総数,20-24歳,19
富山県,総数,25-29歳,16
富山県,総数,30-34歳,10
富山県,男,15-19歳,4
富山県,男,20-24歳,14
富山県,男,25-29歳,8
富山県,男,30-34歳,3
富山県,女,15-19歳,5
富山県,女,20-24歳,5
富山県,女,25-29歳,8
富山県,女,30-34歳,7
石川県,総数,15-19歳,19
石川県,総数,20-24歳,12
石川県,総数,25-29歳,28
石川県,総数,30-34歳,22
石川県,男,15-19歳,11
石川県,男,20-24歳,4
石川県,男,25-29歳,15
石川県,男,30-34歳,15
石川県,女,15-19歳,8
石川県,女,20-24歳,8
石川県,女,25-29歳,13
石川県,女,30-34歳,7
福井県,総数,15-19歳,2
福井県,総数,20-24歳,16
福井県,総数,25-29歳,23
福井県,総数,30-34歳,11
福井県,男,15-19歳,1
福井県,男,20-24歳,4
福井県,男,25-29歳,6
福井県,男,30-34歳,2
福井県,女,15-19歳,1
福井県,女,20-24歳,12
福井県,女,25-29歳,17
福井県,女,30-34歳,9
山梨県,総数,15-19歳,24
山梨県,総数,20-24歳,30
山梨県,総数,25-29歳,20
山梨県,総数,30-34歳,16
山梨県,男,15-19歳,8
山梨県,男,20-24歳,21
山梨県,男,25-29歳,13
山梨県,男,30-34歳,11
山梨県,女,15-19歳,16
山梨県,女,20-24歳,9
山梨県,女,25-29歳,7
山梨県,女,30-34歳,5
長野県,総数,15-19歳,11
長野県,総数,20-24歳,59
長野県,総数,25-29歳,45
長野県,総数,30-34歳,24
長野県,男,15-19歳,9
長野県,男,20-24歳,31
長野県,男,25-29歳,25
長野県,男,30-34歳,16
長野県,女,15-19歳,2
長野県,女,20-24歳,28
長野県,女,25-29歳,20
長野県,女,30-34歳,8
岐阜県,総数,15-19歳,5
岐阜県,総数,20-24歳,29
岐阜県,総数,25-29歳,29
岐阜県,総数,30-34歳,14
岐阜県,男,15-19歳,2
岐阜県,男,20-24歳,16
岐阜県,男,25-29歳,21
岐阜県,男,30-34歳,8
岐阜県,女,15-19歳,3
岐阜県,女,20-24歳,13
岐阜県,女,25-29歳,8
岐阜県,女,30-34歳,6
静岡県,総数,15-19歳,20
静岡県,総数,20-24歳,127
静岡県,総数,25-29歳,69
静岡県,総数,30-34歳,42
静岡県,男,15-19歳,13
静岡県,男,20-24歳,80
静岡県,男,25-29歳,39
静岡県,男,30-34歳,25
静岡県,女,15-19歳,7
静岡県,女,20-24歳,47
静岡県,女,25-29歳,30
静岡県,女,30-34歳,17
愛知県,総数,15-19歳,28
愛知県,総数,20-24歳,158
愛知県,総数,25-29歳,116
愛知県,総数,30-34歳,67
愛知県,男,15-19歳,17
愛知県,男,20-24歳,103
愛知県,男,25-29歳,66
愛知県,男,30-34歳,38
愛知県,女,15-19歳,11
愛知県,女,20-24歳,55
愛知県,女,25-29歳,50
愛知県,女,30-34歳,29
三重県,総数,15-19歳,5
三重県,総数,20-24歳,33
三重県,総数,25-29歳,41
三重県,総数,30-34歳,21
三重県,男,15-19歳,2
三重県,男,20-24歳,16
三重県,男,25-29歳,26
三重県,男,30-34歳,15
三重県,女,15-19歳,3
三重県,女,20-24歳,17
三重県,女,25-29歳,15
三重県,女,30-34歳,6
滋賀県,総数,15-19歳,3
滋賀県,総数,20-24歳,15
滋賀県,総数,25-29歳,19
滋賀県,総数,30-34歳,16
滋賀県,男,15-19歳,2
滋賀県,男,20-24歳,10
滋賀県,男,25-29歳,12
滋賀県,男,30-34歳,8
滋賀県,女,15-19歳,1
滋賀県,女,20-24歳,5
滋賀県,女,25-29歳,7
滋賀県,女,30-34歳,8
京都府,総数,15-19歳,25
京都府,総数,20-24歳,41
京都府,総数,25-29歳,35
京都府,総数,30-34歳,24
京都府,男,15-19歳,14
京都府,男,20-24歳,18
京都府,男,25-29歳,25
京都府,男,30-34歳,16
京都府,女,15-19歳,11
京都府,女,20-24歳,23
京都府,女,25-29歳,10
京都府,女,30-34歳,8
大阪府,総数,15-19歳,40
大阪府,総数,20-24歳,125
大阪府,総数,25-29歳,123
大阪府,総数,30-34歳,79
大阪府,男,15-19歳,19
大阪府,男,20-24歳,72
大阪府,男,25-29歳,91
大阪府,男,30-34歳,42
大阪府,女,15-19歳,21
大阪府,女,20-24歳,53
大阪府,女,25-29歳,32
大阪府,女,30-34歳,37
兵庫県,総数,15-19歳,21
兵庫県,総数,20-24歳,58
兵庫県,総数,25-29歳,53
兵庫県,総数,30-34歳,55
兵庫県,男,15-19歳,7
兵庫県,男,20-24歳,30
兵庫県,男,25-29歳,27
兵庫県,男,30-34歳,37
兵庫県,女,15-19歳,14
兵庫県,女,20-24歳,28
兵庫県,女,25-29歳,26
兵庫県,女,30-34歳,18
奈良県,総数,15-19歳,5
奈良県,総数,20-24歳,17
奈良県,総数,25-29歳,9
奈良県,総数,30-34歳,3
奈良県,男,15-19歳,4
奈良県,男,20-24歳,6
奈良県,男,25-29歳,6
奈良県,男,30-34歳,1
奈良県,女,15-19歳,1
奈良県,女,20-24歳,11
奈良県,女,25-29歳,3
奈良県,女,30-34歳,2
和歌山県,総数,15-19歳,2
和歌山県,総数,20-24歳,6
和歌山県,総数,25-29歳,5
和歌山県,総数,30-34歳,4
和歌山県,男,15-19歳,1
和歌山県,男,20-24歳,4
和歌山県,男,25-29歳,4
和歌山県,男,30-34歳,3
和歌山県,女,15-19歳,1
和歌山県,女,20-24歳,2
和歌山県,女,25-29歳,1
和歌山県,女,30-34歳,1
鳥取県,総数,15-19歳,0
鳥取県,総数,20-24歳,3
鳥取県,総数,25-29歳,6
鳥取県,総数,30-34歳,2
鳥取県,男,15-19歳,0
鳥取県,男,20-24歳,2
鳥取県,男,25-29歳,4
鳥取県,男,30-34歳,2
鳥取県,女,15-19歳,0
鳥取県,女,20-24歳,1
鳥取県,女,25-29歳,2
鳥取県,女,30-34歳,0
島根県,総数,15-19歳,1
島根県,総数,20-24歳,3
島根県,総数,25-29歳,9
島根県,総数,30-34歳,4
島根県,男,15-19歳,0
島根県,男,20-24歳,3
島根県,男,25-29歳,5
島根県,男,30-34歳,2
島根県,女,15-19歳,1
島根県,女,20-24歳,0
島根県,女,25-29歳,4
島根県,女,30-34歳,2
岡山県,総数,15-19歳,4
岡山県,総数,20-24歳,24
岡山県,総数,25-29歳,13
岡山県,総数,30-34歳,12
岡山県,男,15-19歳,2
岡山県,男,20-24歳,14
岡山県,男,25-29歳,7
岡山県,男,30-34歳,5
岡山県,女,15-19歳,2
岡山県,女,20-24歳,10
岡山県,女,25-29歳,6
岡山県,女,30-34歳,7
広島県,総数,15-19歳,6
広島県,総数,20-24歳,29
広島県,総数,25-29歳,28
広島県,総数,30-34歳,13
広島県,男,15-19歳,4
広島県,男,20-24歳,19
広島県,男,25-29歳,18
広島県,男,30-34歳,7
広島県,女,15-19歳,2
広島県,女,20-24歳,10
広島県,女,25-29歳,10
広島県,女,30-34歳,6
山口県,総数,15-19歳,6
山口県,総数,20-24歳,10
山口県,総数,25-29歳,6
山口県,総数,30-34歳,3
山口県,男,15-19歳,2
山口県,男,20-24歳,10
山口県,男,25-29歳,4
山口県,男,30-34歳,1
山口県,女,15-19歳,4
山口県,女,20-24歳,0
山口県,女,25-29歳,2
山口県,女,30-34歳,2
徳島県,総数,15-19歳,2
徳島県,総数,20-24歳,4
徳島県,総数,25-29歳,3
徳島県,総数,30-34歳,6
徳島県,男,15-19歳,1
徳島県,男,20-24歳,2
徳島県,男,25-29歳,2
徳島県,男,30-34歳,3
徳島県,女,15-19歳,1
徳島県,女,20-24歳,2
徳島県,女,25-29歳,1
徳島県,女,30-34歳,3
香川県,総数,15-19歳,0
香川県,総数,20-24歳,5
香川県,総数,25-29歳,15
香川県,総数,30-34歳,9
香川県,男,15-19歳,0
香川県,男,20-24歳,4
香川県,男,25-29歳,10
香川県,男,30-34歳,3
香川県,女,15-19歳,0
香川県,女,20-24歳,1
香川県,女,25-29歳,5
香川県,女,30-34歳,6
愛媛県,総数,15-19歳,3
愛媛県,総数,20-24歳,13
愛媛県,総数,25-29歳,5
愛媛県,総数,30-34歳,9
愛媛県,男,15-19歳,1
愛媛県,男,20-24歳,11
愛媛県,男,25-29歳,2
愛媛県,男,30-34歳,5
愛媛県,女,15-19歳,2
愛媛県,女,20-24歳,2
愛媛県,女,25-29歳,3
愛媛県,女,30-34歳,4
高知県,総数,15-19歳,2
高知県,総数,20-24歳,3
高知県,総数,25-29歳,7
高知県,総数,30-34歳,3
高知県,男,15-19歳,2
高知県,男,20-24歳,1
高知県,男,25-29歳,5
高知県,男,30-34歳,1
高知県,女,15-19歳,0
高知県,女,20-24歳,2
高知県,女,25-29歳,2
高知県,女,30-34歳,2
福岡県,総数,15-19歳,6
福岡県,総数,20-24歳,40
福岡県,総数,25-29歳,44
福岡県,総数,30-34歳,42
福岡県,男,15-19歳,3
福岡県,男,20-24歳,18
福岡県,男,25-29歳,25
福岡県,男,30-34歳,27
福岡県,女,15-19歳,3
福岡県,女,20-24歳,22
福岡県,女,25-29歳,19
福岡県,女,30-34歳,15
佐賀県,総数,15-19歳,0
佐賀県,総数,20-24歳,5
佐賀県,総数,25-29歳,7
佐賀県,総数,30-34歳,3
佐賀県,男,15-19歳,0
佐賀県,男,20-24歳,5
佐賀県,男,25-29歳,5
佐賀県,男,30-34歳,1
佐賀県,女,15-19歳,0
佐賀県,女,20-24歳,0
佐賀県,女,25-29歳,2
佐賀県,女,30-34歳,2
長崎県,総数,15-19歳,2
長崎県,総数,20-24歳,16
長崎県,総数,25-29歳,9
長崎県,総数,30-34歳,17
長崎県,男,15-19歳,1
長崎県,男,20-24歳,6
長崎県,男,25-29歳,6
長崎県,男,30-34歳,11
長崎県,女,15-19歳,1
長崎県,女,20-24歳,10
長崎県,女,25-29歳,3
長崎県,女,30-34歳,6
熊本県,総数,15-19歳,4
熊本県,総数,20-24歳,16
熊本県,総数,25-29歳,14
熊本県,総数,30-34歳,6
熊本県,男,15-19歳,3
熊本県,男,20-24歳,10
熊本県,男,25-29歳,9
熊本県,男,30-34歳,3
熊本県,女,15-19歳,1
熊本県,女,20-24歳,6
熊本県,女,25-29歳,5
熊本県,女,30-34歳,3
大分県,総数,15-19歳,5
大分県,総数,20-24歳,16
大分県,総数,25-29歳,15
大分県,総数,30-34歳,13
大分県,男,15-19歳,3
大分県,男,20-24歳,9
大分県,男,25-29歳,10
大分県,男,30-34歳,7
大分県,女,15-19歳,2
大分県,女,20-24歳,7
大分県,女,25-29歳,5
大分県,女,30-34歳,6
宮崎県,総数,15-19歳,2
宮崎県,総数,20-24歳,8
宮崎県,総数,25-29歳,7
宮崎県,総数,30-34歳,3
宮崎県,男,15-19歳,1
宮崎県,男,20-24歳,6
宮崎県,男,25-29歳,5
宮崎県,男,30-34歳,2
宮崎県,女,15-19歳,1
宮崎県,女,20-24歳,2
宮崎県,女,25-29歳,2
宮崎県,女,30-34歳,1
鹿児島県,総数,15-19歳,4
鹿児島県,総数,20-24歳,10
鹿児島県,総数,25-29歳,15
鹿児島県,総数,30-34歳,9
鹿児島県,男,15-19歳,3
鹿児島県,男,20-24歳,6
鹿児島県,男,25-29歳,9
鹿児島県,男,30-34歳,5
鹿児島県,女,15-19歳,1
鹿児島県,女,20-24歳,4
鹿児島県,女,25-29歳,6
鹿児島県,女,30-34歳,4
沖縄県,総数,15-19歳,6
沖縄県,総数,20-24歳,18
沖縄県,総数,25-29歳,20
沖縄県,総数,30-34歳,22
沖縄県,男,15-19歳,4
沖縄県,男,20-24歳,12
沖縄県,男,25-29歳,12
沖縄県,男,30-34歳,14
沖縄県,女,15-19歳,2
沖縄県,女,20-24歳,6
沖縄県,女,25-29歳,8
沖縄県,女,30-34歳,8
